,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Clyde River,70.4692,-68.5914,38.53,66,60,2.13,CA,1600020000
118,Pau Brasil,-15.4642,-39.6511,76.77,67,42,6.44,BR,1600020000
119,Mount Gambier,-37.8333,140.7667,49.6,94,50,5.44,AU,1600020000
120,Souillac,-20.5167,57.5167,70.83,80,53,9.91,MU,1600020000
121,Laas,46.6166,10.7002,69.51,62,20,1.45,IT,1600020000
122,San Policarpo,12.1791,125.5072,82.44,81,91,6.67,PH,1600020000
123,Mahébourg,-20.4081,57.7,71.06,80,58,11.18,MU,1600020000
124,Dzhebariki-Khaya,62.2167,135.8,52.81,62,64,3.31,RU,1600020000
125,Ilulissat,69.2167,-51.1,29.57,65,3,5.55,GL,1600020000
126,Moose Factory,51.2585,-80.6094,53.67,70,69,15.21,CA,1600020000
127,Kruisfontein,-34.0033,24.7314,58.24,64,1,13.65,ZA,1600020000
128,Lubango,-14.9172,13.4925,71.96,36,10,5.28,AO,1600020000
129,Oron,4.8256,8.2343,76.51,90,100,3.85,NG,1600020000
130,Mēga,4.05,38.3,68.04,54,1,9.35,ET,1600020000
131,East London,-33.0153,27.9116,64.36,71,56,13.15,ZA,1600020000
132,Saskylakh,71.9167,114.0833,46.81,76,98,3.06,RU,1600020000
133,Tambopata,-12.7333,-69.1833,99.05,44,6,4.5,PE,1600020000
134,Thompson,55.7435,-97.8558,47.75,69,38,7.2,CA,1600020000
135,Homer,59.6425,-151.5483,51.24,75,19,2.68,US,1600020000
136,Fortuna,40.5982,-124.1573,70.5,72,0,6.73,US,1600020000
137,Sørland,67.667,12.6934,51.33,83,65,17.4,NO,1600020000
138,Khorixas,-20.3667,14.9667,79.75,23,18,12.28,NA,1600020000
139,Ribeira Grande,38.5167,-28.7,74.01,76,56,15.52,PT,1600020000
140,Nueva Rosita,27.95,-101.2167,87.21,61,52,7.49,MX,1600020000
141,Muridke,31.8025,74.2617,85.57,54,10,4.29,PK,1600020000
142,Tautira,-17.7333,-149.15,78.15,75,45,12.53,PF,1600020000
143,Carnarvon,-24.8667,113.6333,71.01,73,0,10.76,AU,1600020000
144,Carutapera,-1.195,-46.02,85.51,67,65,10.16,BR,1600020000
145,Provideniya,64.3833,-173.3,43.66,92,100,15.23,RU,1600020000
146,Hualmay,-11.0964,-77.6139,65.73,70,34,10.09,PE,1600020000
147,Mar del Plata,-38.0023,-57.5575,57.31,45,10,14.76,AR,1600020000
148,Havre-St-Pierre,50.2334,-63.5986,57.31,73,95,15.57,CA,1600020000
149,Merauke,-8.4667,140.3333,74.07,79,16,15.3,ID,1600020000
150,Vilcún,-38.65,-72.2333,52.12,72,59,5.77,CL,1600020000
151,Novobirilyussy,56.9514,90.6661,46.11,85,34,2.06,RU,1600020000
152,Yumen,40.2833,97.2,52.45,38,1,6.62,CN,1600020000
153,Cabo San Lucas,22.8909,-109.9124,86.81,72,4,10.36,MX,1600020000
154,Port-Gentil,-0.7193,8.7815,79.29,79,27,16.67,GA,1600020000
155,Sept-Îles,50.2001,-66.3821,56.43,75,93,8.63,CA,1600020000
156,Antalaha,-14.9003,50.2788,71.4,76,25,10.07,MG,1600020000
157,Cherskiy,68.75,161.3,40.05,80,0,6.31,RU,1600020000
158,Angoche,-16.2325,39.9086,74.68,79,0,8.41,MZ,1600020000
159,Keminmaa,65.8596,24.8228,52.12,78,22,7.61,FI,1600020000
160,Birao,10.2849,22.7882,77.54,83,95,1.54,CF,1600020000
161,Asadābād,34.7824,48.1185,72.82,24,52,9.1,IR,1600020000
162,Saint Anthony,45.0205,-93.218,71.35,63,10,5.3,US,1600020000
163,Mogadishu,2.0371,45.3438,79.09,80,48,16.11,SO,1600020000
164,Coahuayana Viejo,18.7333,-103.6833,90.14,69,56,4.88,MX,1600020000
165,Aktau,43.65,51.2,72.1,56,0,13.78,KZ,1600020000
166,Gumdag,39.2061,54.5906,80.64,33,0,10.33,TM,1600020000
167,Grand Gaube,-20.0064,57.6608,72.39,78,88,15.77,MU,1600020000
168,Meulaboh,4.1363,96.1285,78.51,85,95,3.87,ID,1600020000
169,Nouadhibou,20.931,-17.0347,84.29,63,80,13.8,MR,1600020000
170,Angren,41.0167,70.1436,62.8,29,0,2.59,UZ,1600020000
171,George Town,5.4112,100.3354,79.3,80,59,2.35,MY,1600020000
172,Verkhnyaya Inta,65.9811,60.3094,46.53,77,95,8.63,RU,1600020000
173,Kajiado,-1.8524,36.7768,71.85,46,66,15.21,KE,1600020000
174,Pisco,-13.7,-76.2167,68.27,68,1,9.89,PE,1600020000
175,Mareeba,-17.0,145.4333,65.84,90,72,2.95,AU,1600020000
176,Zeya,53.75,127.2667,56.46,80,100,2.24,RU,1600020000
177,Phalaborwa,-23.943,31.1411,80.53,30,0,3.04,ZA,1600020000
178,Devrek,41.2192,31.9558,72.9,76,82,1.92,TR,1600020000
179,Ikryanoye,46.0932,47.7308,65.3,43,0,3.18,RU,1600020000
180,Maniitsoq,65.4167,-52.9,36.91,70,0,2.75,GL,1600020000
181,Pevek,69.7008,170.3133,41.81,83,31,10.07,RU,1600020000
182,Tondano,1.3038,124.9112,70.93,97,69,2.59,ID,1600020000
183,Tchibanga,-2.85,11.0333,77.18,72,95,6.15,GA,1600020000
184,Fairfield,41.2668,-73.3162,72.57,65,85,8.81,US,1600020000
185,Metapán,14.3333,-89.45,85.64,82,57,1.57,SV,1600020000
186,Iskitim,54.6366,83.3045,48.33,83,20,6.06,RU,1600020000
187,Snezhnogorsk,69.1933,33.2531,48.18,87,68,6.76,RU,1600020000
188,Cugir,45.8333,23.3667,75.0,45,15,3.27,RO,1600020000
189,Lakes Entrance,-37.8811,147.981,48.36,87,12,8.43,AU,1600020000
190,Paraíso,9.8383,-83.8656,73.76,74,91,1.34,CR,1600020000
191,Oruzgan,32.8333,66.0,59.29,29,0,1.1,AF,1600020000
192,Uruaçu,-14.5247,-49.1408,97.27,15,0,8.46,BR,1600020000
193,Champerico,14.3,-91.9167,84.63,72,91,4.59,GT,1600020000
194,Pandrup,57.2215,9.6757,60.8,91,98,20.67,DK,1600020000
195,Muş Province,39.0,41.75,78.17,25,27,3.65,TR,1600020000
196,Payakumbuh,-0.2202,100.6308,70.43,84,75,1.23,ID,1600020000
197,Sayhāt,26.4852,50.0405,94.55,43,11,4.0,SA,1600020000
198,Santa Rosa,14.3122,121.1114,82.38,79,34,5.3,PH,1600020000
199,São Gabriel da Cachoeira,-0.1303,-67.0892,97.7,40,11,4.18,BR,1600020000
200,Camacupa,-12.0167,17.4833,80.33,17,0,4.92,AO,1600020000
201,Kargasok,59.0556,80.8572,54.43,89,97,7.76,RU,1600020000
202,At-Bashi,41.1702,75.8106,50.86,41,0,1.9,KG,1600020000
203,Launceston,-41.45,147.1667,45.55,76,47,7.58,AU,1600020000
204,Camalú,30.85,-116.0667,81.03,51,0,7.81,MX,1600020000
205,Anicuns,-16.4611,-49.9617,96.15,14,0,6.33,BR,1600020000
206,Skjervøy,70.0311,20.9714,52.18,77,61,5.28,NO,1600020000
207,Cockburn Town,21.4612,-71.1419,83.89,70,100,9.33,TC,1600020000
208,Bandarbeyla,9.4942,50.8122,80.24,72,89,24.96,SO,1600020000
209,Mildura,-34.2,142.15,46.71,86,0,9.71,AU,1600020000
210,Chapais,49.7834,-74.8492,60.69,98,95,11.7,CA,1600020000
211,Gebre Guracha,9.8,38.4,57.58,83,16,2.26,ET,1600020000
212,George,-33.963,22.4617,60.58,47,9,18.37,ZA,1600020000
213,Simao,22.7886,100.9748,65.77,94,100,1.63,CN,1600020000
214,Nagorsk,59.3172,50.8078,52.41,83,100,10.76,RU,1600020000
215,Vila Velha,-20.3297,-40.2925,79.09,62,10,15.05,BR,1600020000
216,Avera,33.194,-82.5271,86.14,71,86,9.42,US,1600020000
217,Tiarei,-17.5333,-149.3333,78.22,75,40,10.89,PF,1600020000
218,Dunedin,-45.8742,170.5036,48.0,80,100,7.56,NZ,1600020000
219,Aksarka,66.5606,67.7975,45.63,81,67,8.14,RU,1600020000
220,North Battleford,52.7834,-108.2847,55.17,67,40,8.57,CA,1600020000
221,Sitka,57.0531,-135.33,57.94,61,3,4.05,US,1600020000
222,Karpathos,35.507,27.2132,77.27,79,13,11.65,GR,1600020000
223,Chui,-33.6971,-53.4616,60.75,91,94,4.83,UY,1600020000
224,Aykhal,66.0,111.5,41.27,78,29,3.24,RU,1600020000
225,San Quintín,30.4833,-115.95,79.59,58,0,10.11,MX,1600020000
226,Vao,-22.6667,167.4833,69.51,78,97,20.54,NC,1600020000
227,Galle,6.0367,80.217,79.54,85,98,11.83,LK,1600020000
228,Norman Wells,65.282,-126.8329,38.98,79,50,2.37,CA,1600020000
229,Lagoa,39.05,-27.9833,72.41,79,11,19.62,PT,1600020000
230,Najrān,17.4924,44.1277,86.38,15,35,2.37,SA,1600020000
231,Dumas,35.8656,-101.9732,79.48,42,1,5.66,US,1600020000
232,Bilibino,68.0546,166.4372,37.35,80,94,6.15,RU,1600020000
233,Tadine,-21.55,167.8833,69.22,83,86,17.92,NC,1600020000
234,Inuvik,68.3499,-133.7218,37.6,80,94,7.81,CA,1600020000
235,Talnakh,69.4865,88.3972,53.87,86,94,10.45,RU,1600020000
236,Lompoc,34.6391,-120.4579,72.25,76,46,9.86,US,1600020000
237,Banda Aceh,5.5577,95.3222,79.54,76,100,7.11,ID,1600020000
238,Xining,36.6167,101.7667,50.54,76,83,1.86,CN,1600020000
239,Qaanaaq,77.484,-69.3632,24.1,82,57,8.95,GL,1600020000
240,Lüderitz,-26.6481,15.1594,59.92,62,0,25.01,NA,1600020000
241,Vostok,46.4856,135.8833,43.48,67,99,3.58,RU,1600020000
242,Saint Paul Harbor,57.79,-152.4072,52.92,70,30,3.38,US,1600020000
243,Salāya,22.3167,69.6,83.93,80,79,11.1,IN,1600020000
244,Tateyama,34.9833,139.8667,80.47,91,40,12.64,JP,1600020000
245,Ginda,30.6945,78.4932,73.22,81,31,3.06,IN,1600020000
246,Beaufort,5.3473,115.7455,75.94,97,69,2.71,MY,1600020000
247,Chifeng,42.2683,118.9636,61.92,73,92,3.58,CN,1600020000
248,Tytuvėnai,55.6,23.2,57.13,72,59,8.52,LT,1600020000
249,Lhokseumawe,5.1801,97.1507,78.48,82,98,4.85,ID,1600020000
250,Tynset,62.2759,10.7824,50.09,46,50,9.53,NO,1600020000
251,Isangel,-19.55,169.2667,72.19,78,85,14.14,VU,1600020000
252,Matagami,49.7502,-77.6328,58.15,95,95,8.39,CA,1600020000
253,College,64.8569,-147.8028,43.39,75,20,2.51,US,1600020000
254,Terre Haute,39.4667,-87.4139,75.54,69,53,6.04,US,1600020000
255,Melilla,35.2937,-2.9383,77.59,77,87,7.67,ES,1600020000
256,Pacific Grove,36.6177,-121.9166,62.76,85,47,8.7,US,1600020000
257,Kavaratti,10.5669,72.642,81.93,79,100,16.22,IN,1600020000
258,Darovskoy,58.77,47.9564,54.1,81,100,12.17,RU,1600020000
259,St. George's,12.0564,-61.7485,88.11,72,51,10.47,GD,1600020000
260,Beloha,-25.1667,45.05,69.85,74,0,21.54,MG,1600020000
261,Touros,-5.1989,-35.4608,83.86,55,23,21.41,BR,1600020000
262,Broken Hill,-31.95,141.4333,52.39,62,0,16.71,AU,1600020000
263,Dali,25.7,100.1833,63.81,89,100,1.66,CN,1600020000
264,Menongue,-14.6585,17.691,80.29,16,0,5.84,AO,1600020000
265,Ponta do Sol,32.6667,-17.1,73.58,71,41,5.28,PT,1600020000
266,Quelimane,-17.8786,36.8883,73.62,79,10,4.83,MZ,1600020000
267,Höganäs,56.1997,12.558,62.56,84,81,20.27,SE,1600020000
268,Beira,-19.8436,34.8389,74.28,76,40,8.57,MZ,1600020000
269,Susner,23.95,76.0833,82.24,66,61,4.41,IN,1600020000
270,Lebu,-37.6167,-73.65,53.04,65,0,16.24,CL,1600020000
271,Bengkulu,-3.8004,102.2655,76.64,89,49,6.49,ID,1600020000
272,Old Bridge,40.4148,-74.3654,75.65,66,59,7.29,US,1600020000
273,Gejiu,23.306,103.1635,59.11,100,100,2.46,CN,1600020000
274,Longyearbyen,78.2186,15.6401,37.11,89,87,2.48,SJ,1600020000
275,Portland,45.5234,-122.6762,70.45,69,83,1.61,US,1600020000
276,San Cristobal,7.7669,-72.225,85.03,50,52,8.68,VE,1600020000
277,Narsaq,60.9167,-46.05,42.48,45,0,5.5,GL,1600020000
278,Lavrentiya,65.5833,-171.0,43.27,92,100,7.78,RU,1600020000
279,Jos,9.9167,8.9,68.9,86,80,2.46,NG,1600020000
280,Mount Isa,-20.7333,139.5,67.19,37,0,13.8,AU,1600020000
281,Newton,42.337,-71.2092,72.82,56,79,9.13,US,1600020000
282,Kamenka,51.3223,42.7678,61.47,42,3,7.61,RU,1600020000
283,Ratnagiri,16.9833,73.3,79.61,84,95,6.24,IN,1600020000
284,Oranjestad,12.524,-70.027,87.03,72,69,13.38,AW,1600020000
285,Saint-Pierre,-21.3393,55.4781,70.66,71,1,12.28,RE,1600020000
286,Kulhudhuffushi,6.6221,73.07,82.33,78,100,11.54,MV,1600020000
287,Yaan,7.3833,8.5667,77.38,87,95,6.89,NG,1600020000
288,Severo-Kuril'sk,50.6789,156.125,48.85,82,18,22.06,RU,1600020000
289,Lorengau,-2.0226,147.2712,81.95,82,64,12.57,PG,1600020000
290,Dicabisagan,17.0818,122.4157,80.28,81,93,1.54,PH,1600020000
291,La Cañada,20.6167,-100.3167,70.39,67,82,5.73,MX,1600020000
292,Tonj,7.2737,28.6822,72.18,95,99,3.11,SS,1600020000
293,Minas de Barroterán,27.6333,-101.2833,86.04,56,37,8.32,MX,1600020000
294,Esperance,-33.8667,121.9,52.84,92,0,11.25,AU,1600020000
295,Kamaishi,39.2667,141.8833,65.48,87,100,11.03,JP,1600020000
296,Mana,5.6592,-53.7767,86.02,68,3,13.29,GF,1600020000
297,Half Moon Bay,37.4636,-122.4286,63.95,80,63,6.69,US,1600020000
298,Raffadali,37.4036,13.5331,74.52,34,89,3.85,IT,1600020000
299,Tarauacá,-8.1614,-70.7656,97.77,35,12,2.73,BR,1600020000
300,Buala,-8.145,159.5921,80.2,81,8,7.07,SB,1600020000
301,Bertoua,4.5833,13.6833,74.3,93,20,3.44,CM,1600020000
302,Fare,-16.7,-151.0167,78.84,76,34,11.59,PF,1600020000
303,Kawalu,-7.3817,108.2082,68.59,90,77,1.14,ID,1600020000
304,Pilar,-9.5972,-35.9567,80.19,63,55,12.37,BR,1600020000
305,Saposoa,-6.934,-76.7716,85.28,69,33,1.97,PE,1600020000
306,Tessalit,20.1986,1.0114,105.64,9,31,9.82,ML,1600020000
307,Baturaja,-4.1333,104.1667,75.47,91,98,1.41,ID,1600020000
308,Khorinsk,52.1657,109.7726,38.44,89,33,2.93,RU,1600020000
309,Kloulklubed,7.0419,134.2556,85.37,83,85,13.13,PW,1600020000
310,Kaitangata,-46.2817,169.8464,47.43,91,87,5.61,NZ,1600020000
311,Sirte,31.2089,16.5887,84.16,61,0,14.94,LY,1600020000
312,Oleksandrivka,46.8383,32.7612,76.19,23,7,6.2,UA,1600020000
313,Caluquembe,-13.7833,14.6833,75.52,21,0,3.6,AO,1600020000
314,Laguna,38.421,-121.4238,83.03,45,46,4.03,US,1600020000
315,Avarua,-21.2078,-159.775,73.36,87,96,18.7,CK,1600020000
316,Necochea,-38.5473,-58.7368,54.97,59,85,18.16,AR,1600020000
317,Klaksvík,62.2266,-6.589,49.57,75,97,7.61,FO,1600020000
318,Kumul,42.8,93.45,69.89,19,100,6.29,CN,1600020000
319,Monforte de Lemos,42.5216,-7.5142,86.27,29,93,1.03,ES,1600020000
320,San Ramon,37.7799,-121.978,77.88,55,46,4.68,US,1600020000
321,Fort Nelson,58.8053,-122.7002,41.18,79,87,5.32,CA,1600020000
322,Halifax,44.6453,-63.5724,66.18,63,75,13.02,CA,1600020000
323,Nishihara,26.1842,127.7558,78.96,87,57,2.26,JP,1600020000
324,Moree,-29.4667,149.85,54.27,70,0,6.44,AU,1600020000
325,Cabedelo,-6.9811,-34.8339,81.61,63,81,18.37,BR,1600020000
326,Port Keats,-14.25,129.55,73.63,88,1,4.29,AU,1600020000
327,Moyale,3.5167,39.0584,77.79,45,30,11.1,KE,1600020000
328,Senno,59.5336,33.9167,52.77,68,6,11.39,RU,1600020000
329,Kirakira,-10.4544,161.9205,79.09,80,2,6.98,SB,1600020000
330,Mahibadhoo,3.7833,72.9667,82.63,77,100,10.02,MV,1600020000
331,Tuatapere,-46.1333,167.6833,50.43,94,100,5.73,NZ,1600020000
332,Taltal,-25.4,-70.4833,63.32,58,21,6.8,CL,1600020000
333,Magadan,59.5667,150.8,48.02,62,0,10.31,RU,1600020000
334,Venâncio Aires,-29.6064,-52.1919,84.09,65,57,0.94,BR,1600020000
335,Belyy Yar,53.6039,91.3903,47.89,83,64,1.43,RU,1600020000
336,Gympie,-26.1898,152.665,55.85,96,6,2.28,AU,1600020000
337,Erzin,36.9559,36.2,78.8,79,0,3.15,TR,1600020000
338,Dudinka,69.4058,86.1778,53.38,88,79,14.94,RU,1600020000
339,Ossora,59.2353,163.0719,45.41,83,92,16.02,RU,1600020000
340,Sur,22.5667,59.5289,81.91,64,61,12.15,OM,1600020000
341,Ambilobe,-13.2,49.05,75.34,70,39,5.48,MG,1600020000
342,Ongandjera,-17.8833,15.0667,81.61,15,4,6.46,NA,1600020000
343,Faanui,-16.4833,-151.75,77.83,78,38,11.68,PF,1600020000
344,Iporá,-16.4419,-51.1178,98.02,13,0,7.02,BR,1600020000
345,Kaeo,-35.1,173.7833,45.27,44,5,4.38,NZ,1600020000
346,Camacha,33.0833,-16.3333,74.19,75,21,6.96,PT,1600020000
347,Lerwick,60.1545,-1.1494,52.77,90,95,3.96,GB,1600020000
348,Mayo,38.8876,-76.5119,74.44,78,73,6.2,US,1600020000
349,Tsiroanomandidy,-18.7667,46.0333,75.78,37,2,6.51,MG,1600020000
350,Sydney,-33.8679,151.2073,57.52,70,0,5.59,AU,1600020000
351,Diffa,13.3154,12.6113,85.82,47,96,4.9,NE,1600020000
352,Kahului,20.8947,-156.47,77.76,66,1,6.82,US,1600020000
353,Mwinilunga,-11.7358,24.4293,77.34,27,29,2.77,ZM,1600020000
354,Bījār,35.8668,47.6051,65.05,43,8,5.84,IR,1600020000
355,Ialibu,-6.2821,143.9935,55.58,99,100,2.26,PG,1600020000
356,Caravelas,-17.7125,-39.2481,79.47,63,5,8.63,BR,1600020000
357,Nabire,-3.3667,135.4833,76.1,88,67,3.87,ID,1600020000
358,Alihe,50.5667,123.7167,54.09,89,96,0.16,CN,1600020000
